"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"861",13302,"LAMPA","Reprobado",183
"862",13302,"LAMPA","Retirado",336
"863",13303,"TILTIL","Promovido",1364
"864",13303,"TILTIL","Reprobado",8
"865",13303,"TILTIL","Retirado",90
"866",13401,"SAN BERNARDO","Promovido",21322
"867",13401,"SAN BERNARDO","Reprobado",476
"868",13401,"SAN BERNARDO","Retirado",942
"869",13401,"SAN BERNARDO",NA,1
"870",13402,"BUIN","Promovido",7645
"871",13402,"BUIN","Reprobado",159
"872",13402,"BUIN","Retirado",290
"873",13403,"CALERA DE TANGO","Promovido",1985
"874",13403,"CALERA DE TANGO","Reprobado",9
"875",13403,"CALERA DE TANGO","Retirado",57
"876",13404,"PAINE","Promovido",6104
"877",13404,"PAINE","Reprobado",68
"878",13404,"PAINE","Retirado",182
"879",13501,"MELIPILLA","Promovido",9846
"880",13501,"MELIPILLA","Reprobado",108
"881",13501,"MELIPILLA","Retirado",322
"882",13502,"ALHUÉ","Promovido",558
"883",13502,"ALHUÉ","Reprobado",2
"884",13502,"ALHUÉ","Retirado",11
"885",13503,"CURACAVÍ","Promovido",2599
"886",13503,"CURACAVÍ","Reprobado",28
"887",13503,"CURACAVÍ","Retirado",117
"888",13504,"MARÍA PINTO","Promovido",832
"889",13504,"MARÍA PINTO","Reprobado",9
"890",13504,"MARÍA PINTO","Retirado",25
"891",13505,"SAN PEDRO","Promovido",732
"892",13505,"SAN PEDRO","Reprobado",11
"893",13505,"SAN PEDRO","Retirado",26
"894",13601,"TALAGANTE","Promovido",6694
"895",13601,"TALAGANTE","Reprobado",133
"896",13601,"TALAGANTE","Retirado",325
"897",13602,"EL MONTE","Promovido",2671
"898",13602,"EL MONTE","Reprobado",28
"899",13602,"EL MONTE","Retirado",105
"900",13603,"ISLA DE MAIPO","Promovido",2523
"901",13603,"ISLA DE MAIPO","Reprobado",47
"902",13603,"ISLA DE MAIPO","Retirado",93
"903",13604,"PADRE HURTADO","Promovido",5545
"904",13604,"PADRE HURTADO","Reprobado",58
"905",13604,"PADRE HURTADO","Retirado",216
"906",13605,"PEÑAFLOR","Promovido",6416
"907",13605,"PEÑAFLOR","Reprobado",75
"908",13605,"PEÑAFLOR","Retirado",294
"909",14101,"VALDIVIA","Promovido",10900
"910",14101,"VALDIVIA","Reprobado",194
"911",14101,"VALDIVIA","Retirado",459
"912",14102,"CORRAL","Promovido",354
"913",14102,"CORRAL","Reprobado",9
"914",14102,"CORRAL","Retirado",21
"915",14103,"LANCO","Promovido",1206
"916",14103,"LANCO","Reprobado",4
"917",14103,"LANCO","Retirado",47
"918",14104,"LOS LAGOS","Promovido",1499
"919",14104,"LOS LAGOS","Reprobado",8
"920",14104,"LOS LAGOS","Retirado",62
"921",14105,"MÁFIL","Promovido",487
"922",14105,"MÁFIL","Reprobado",2
"923",14105,"MÁFIL","Retirado",27
"924",14106,"MARIQUINA","Promovido",1859
"925",14106,"MARIQUINA","Reprobado",25
"926",14106,"MARIQUINA","Retirado",89
"927",14107,"PAILLACO","Promovido",1498
"928",14107,"PAILLACO","Reprobado",10
"929",14107,"PAILLACO","Retirado",104
"930",14108,"PANGUIPULLI","Promovido",2739
"931",14108,"PANGUIPULLI","Reprobado",22
"932",14108,"PANGUIPULLI","Retirado",107
"933",14201,"LA UNIÓN","Promovido",2658
"934",14201,"LA UNIÓN","Reprobado",21
"935",14201,"LA UNIÓN","Retirado",128
"936",14202,"FUTRONO","Promovido",1374
"937",14202,"FUTRONO","Reprobado",6
"938",14202,"FUTRONO","Retirado",94
"939",14203,"LAGO RANCO","Promovido",708
"940",14203,"LAGO RANCO","Reprobado",8
"941",14203,"LAGO RANCO","Retirado",48
"942",14204,"RÍO BUENO","Promovido",2197
"943",14204,"RÍO BUENO","Reprobado",29
"944",14204,"RÍO BUENO","Retirado",126
"945",15101,"ARICA","Promovido",18445
"946",15101,"ARICA","Reprobado",273
"947",15101,"ARICA","Retirado",706
"948",15102,"CAMARONES","Promovido",55
"949",15102,"CAMARONES","Reprobado",1
"950",15102,"CAMARONES","Retirado",10
"951",15201,"PUTRE","Promovido",93
"952",15201,"PUTRE","Retirado",3
"953",15202,"GENERAL LAGOS","Promovido",45
"954",16101,"CHILLÁN","Promovido",13589
"955",16101,"CHILLÁN","Reprobado",118
"956",16101,"CHILLÁN","Retirado",485
"957",16102,"BULNES","Promovido",1538
"958",16102,"BULNES","Reprobado",26
"959",16102,"BULNES","Retirado",70
"960",16103,"CHILLÁN VIEJO","Promovido",1521
"961",16103,"CHILLÁN VIEJO","Reprobado",33
"962",16103,"CHILLÁN VIEJO","Retirado",71
"963",16104,"EL CARMEN","Promovido",896
"964",16104,"EL CARMEN","Reprobado",1
"965",16104,"EL CARMEN","Retirado",38
"966",16105,"PEMUCO","Promovido",484
"967",16105,"PEMUCO","Retirado",12
"968",16106,"PINTO","Promovido",627
"969",16106,"PINTO","Retirado",32
"970",16107,"QUILLÓN","Promovido",1130
"971",16107,"QUILLÓN","Reprobado",3
"972",16107,"QUILLÓN","Retirado",57
"973",16108,"SAN IGNACIO","Promovido",841
"974",16108,"SAN IGNACIO","Reprobado",5
"975",16108,"SAN IGNACIO","Retirado",33
"976",16109,"YUNGAY","Promovido",1283
"977",16109,"YUNGAY","Reprobado",20
"978",16109,"YUNGAY","Retirado",62
"979",16201,"QUIRIHUE","Promovido",702
"980",16201,"QUIRIHUE","Reprobado",5
"981",16201,"QUIRIHUE","Retirado",28
"982",16202,"COBQUECURA","Promovido",277
"983",16202,"COBQUECURA","Retirado",9
"984",16203,"COELEMU","Promovido",1225
"985",16203,"COELEMU","Reprobado",2
"986",16203,"COELEMU","Retirado",19
"987",16204,"NINHUE","Promovido",286
"988",16204,"NINHUE","Reprobado",1
"989",16204,"NINHUE","Retirado",7
"990",16205,"PORTEZUELO","Promovido",289
"991",16205,"PORTEZUELO","Reprobado",3
"992",16205,"PORTEZUELO","Retirado",12
"993",16206,"RANQUIL","Promovido",401
"994",16206,"RANQUIL","Reprobado",6
"995",16206,"RANQUIL","Retirado",16
"996",16207,"TREHUACO","Promovido",180
"997",16207,"TREHUACO","Reprobado",5
"998",16207,"TREHUACO","Retirado",2
"999",16301,"SAN CARLOS","Promovido",3615
"1000",16301,"SAN CARLOS","Reprobado",45
"1001",16301,"SAN CARLOS","Retirado",123
"1002",16302,"COIHUECO","Promovido",1807
"1003",16302,"COIHUECO","Reprobado",30
"1004",16302,"COIHUECO","Retirado",62
"1005",16302,"COIHUECO",NA,1
"1006",16303,"ÑIQUÉN","Promovido",680
"1007",16303,"ÑIQUÉN","Reprobado",19
"1008",16303,"ÑIQUÉN","Retirado",25
"1009",16304,"SAN FABIÁN","Promovido",354
"1010",16304,"SAN FABIÁN","Reprobado",1
"1011",16304,"SAN FABIÁN","Retirado",19
"1012",16305,"SAN NICOLÁS","Promovido",947
"1013",16305,"SAN NICOLÁS","Reprobado",37
"1014",16305,"SAN NICOLÁS","Retirado",42
