"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"452",10303,"PURRANQUE","Municipal",380,5.4
"453",10303,"PURRANQUE","Particular Subvencionado",994,5.8
"454",10304,"PUYEHUE","Municipal",726,5.6
"455",10305,"RÍO NEGRO","Municipal",457,5.8
"456",10305,"RÍO NEGRO","Particular Subvencionado",329,5.8
"457",10306,"SAN JUAN DE LA COSTA","Municipal",240,5.9
"458",10306,"SAN JUAN DE LA COSTA","Particular Subvencionado",246,5.4
"459",10307,"SAN PABLO","Municipal",313,5.3
"460",10307,"SAN PABLO","Particular Subvencionado",348,5.9
"461",10401,"CHAITÉN","Municipal",277,5.4
"462",10401,"CHAITÉN","Particular Subvencionado",13,6.3
"463",10402,"FUTALEUFÚ","Municipal",198,5.9
"464",10403,"HUALAIHUÉ","Municipal",467,5.8
"465",10403,"HUALAIHUÉ","Particular Subvencionado",146,5.8
"466",10404,"PALENA","Municipal",113,6.2
"467",11101,"COYHAIQUE","Municipal",1078,5.7
"468",11101,"COYHAIQUE","Particular Subvencionado",3428,5.7
"469",11102,"LAGO VERDE","Municipal",40,5.8
"470",11201,"AYSÉN","Municipal",1142,5.7
"471",11201,"AYSÉN","Particular Subvencionado",847,5.8
"472",11202,"CISNES","Municipal",405,5.3
"473",11202,"CISNES","Particular Subvencionado",2,5.9
"474",11203,"GUAITECAS","Municipal",120,5.9
"475",11301,"COCHRANE","Municipal",259,5.8
"476",11302,"O'HIGGINS","Municipal",55,6.2
"477",11303,"TORTEL","Municipal",48,5.9
"478",11401,"CHILE CHICO","Municipal",327,6.3
"479",11402,"RÍO IBÁÑEZ","Municipal",157,5.6
"480",12101,"PUNTA ARENAS","Municipal",4020,5.7
"481",12101,"PUNTA ARENAS","Particular Pagado",1487,6
"482",12101,"PUNTA ARENAS","Particular Subvencionado",3070,5.8
"483",12102,"LAGUNA BLANCA","Municipal",18,5.8
"484",12103,"RÍO VERDE","Municipal",7,5
"485",12104,"SAN GREGORIO","Municipal",22,6
"486",12201,"CABO DE HORNOS","Municipal",190,5.7
"487",12301,"PORVENIR","Municipal",312,5.4
"488",12301,"PORVENIR","Particular Subvencionado",160,5.1
"489",12302,"PRIMAVERA","Municipal",40,6.1
"490",12303,"TIMAUKEL","Municipal",19,6.4
"491",12401,"NATALES","Municipal",844,5.7
"492",12401,"NATALES","Particular Subvencionado",736,4.9
"493",12402,"TORRES DEL PAINE","Municipal",20,5.9
"494",13101,"SANTIAGO","Municipal",7672,5.6
"495",13101,"SANTIAGO","Particular Pagado",3243,5.9
"496",13101,"SANTIAGO","Particular Subvencionado",11243,5.8
"497",13102,"CERRILLOS","Municipal",1651,5.4
"498",13102,"CERRILLOS","Particular Subvencionado",3162,5.6
"499",13103,"CERRO NAVIA","Particular Subvencionado",4399,5.7
"500",13103,"CERRO NAVIA","Servicio Local de Educación",2737,5.4
"501",13104,"CONCHALÍ","Municipal",3480,5.5
"502",13104,"CONCHALÍ","Particular Pagado",123,5.8
"503",13104,"CONCHALÍ","Particular Subvencionado",5440,5.8
"504",13105,"EL BOSQUE","Municipal",2689,5.4
"505",13105,"EL BOSQUE","Particular Pagado",231,5.2
"506",13105,"EL BOSQUE","Particular Subvencionado",10449,5.7
"507",13106,"ESTACIÓN CENTRAL","Municipal",3813,5.5
"508",13106,"ESTACIÓN CENTRAL","Particular Pagado",683,6.2
"509",13106,"ESTACIÓN CENTRAL","Particular Subvencionado",5369,5.7
"510",13107,"HUECHURABA","Municipal",1485,5.6
"511",13107,"HUECHURABA","Particular Pagado",2557,6
"512",13107,"HUECHURABA","Particular Subvencionado",1731,5.7
"513",13108,"INDEPENDENCIA","Municipal",2394,5.5
"514",13108,"INDEPENDENCIA","Particular Pagado",298,6
"515",13108,"INDEPENDENCIA","Particular Subvencionado",4670,5.8
"516",13109,"LA CISTERNA","Municipal",1079,5.5
"517",13109,"LA CISTERNA","Particular Pagado",214,5.9
"518",13109,"LA CISTERNA","Particular Subvencionado",7297,5.8
"519",13110,"LA FLORIDA","Municipal",4411,5.5
"520",13110,"LA FLORIDA","Particular Pagado",2900,5.8
"521",13110,"LA FLORIDA","Particular Subvencionado",20189,5.7
"522",13111,"LA GRANJA","Particular Subvencionado",5491,5.5
"523",13111,"LA GRANJA","Servicio Local de Educación",2212,5.3
"524",13112,"LA PINTANA","Municipal",2012,5.2
"525",13112,"LA PINTANA","Particular Subvencionado",11187,5.5
"526",13113,"LA REINA","Municipal",1444,5.6
"527",13113,"LA REINA","Particular Pagado",4723,6.1
"528",13113,"LA REINA","Particular Subvencionado",2708,5.7
"529",13114,"LAS CONDES","Municipal",2031,5.9
"530",13114,"LAS CONDES","Particular Pagado",10437,6.1
"531",13114,"LAS CONDES","Particular Subvencionado",1821,5.8
"532",13115,"LO BARNECHEA","Municipal",464,5.6
"533",13115,"LO BARNECHEA","Particular Pagado",6141,6.1
"534",13115,"LO BARNECHEA","Particular Subvencionado",1603,5.6
"535",13116,"LO ESPEJO","Municipal",1802,5.2
"536",13116,"LO ESPEJO","Particular Subvencionado",2863,5.6
"537",13117,"LO PRADO","Particular Subvencionado",3099,5.8
"538",13117,"LO PRADO","Servicio Local de Educación",2163,5.4
"539",13118,"MACUL","Particular Pagado",831,6.2
"540",13118,"MACUL","Particular Subvencionado",3803,5.7
"541",13118,"MACUL","Servicio Local de Educación",1756,5.7
"542",13119,"MAIPÚ","Corporación de Administración Delegada",166,5.7
"543",13119,"MAIPÚ","Municipal",6237,5.6
"544",13119,"MAIPÚ","Particular Pagado",1383,6
"545",13119,"MAIPÚ","Particular Subvencionado",25773,5.8
"546",13120,"ÑUÑOA","Municipal",4220,5.9
"547",13120,"ÑUÑOA","Particular Pagado",5051,5.7
"548",13120,"ÑUÑOA","Particular Subvencionado",2314,5.6
"549",13121,"PEDRO AGUIRRE CERDA","Municipal",1826,5.3
"550",13121,"PEDRO AGUIRRE CERDA","Particular Subvencionado",5106,5.6
"551",13122,"PEÑALOLÉN","Municipal",3286,5.4
"552",13122,"PEÑALOLÉN","Particular Pagado",4723,6
"553",13122,"PEÑALOLÉN","Particular Subvencionado",6534,5.7
"554",13123,"PROVIDENCIA","Municipal",2250,5.9
"555",13123,"PROVIDENCIA","Particular Pagado",5604,5.7
"556",13123,"PROVIDENCIA","Particular Subvencionado",1343,6
"557",13124,"PUDAHUEL","Particular Pagado",618,6.2
"558",13124,"PUDAHUEL","Particular Subvencionado",8267,5.7
"559",13124,"PUDAHUEL","Servicio Local de Educación",4411,5.5
"560",13125,"QUILICURA","Municipal",2470,5.2
"561",13125,"QUILICURA","Particular Pagado",930,5.9
"562",13125,"QUILICURA","Particular Subvencionado",12140,5.6
"563",13126,"QUINTA NORMAL","Municipal",3848,5.5
"564",13126,"QUINTA NORMAL","Particular Subvencionado",6134,5.7
"565",13127,"RECOLETA","Municipal",3362,5.5
"566",13127,"RECOLETA","Particular Pagado",545,6.2
"567",13127,"RECOLETA","Particular Subvencionado",7779,5.7
"568",13128,"RENCA","Municipal",3109,5.4
"569",13128,"RENCA","Particular Subvencionado",6375,5.6
"570",13129,"SAN JOAQUÍN","Particular Subvencionado",2354,5.6
"571",13129,"SAN JOAQUÍN","Servicio Local de Educación",1911,5.7
"572",13130,"SAN MIGUEL","Municipal",1363,5.7
"573",13130,"SAN MIGUEL","Particular Pagado",957,5.9
"574",13130,"SAN MIGUEL","Particular Subvencionado",5781,5.6
"575",13131,"SAN RAMÓN","Municipal",1069,5.2
"576",13131,"SAN RAMÓN","Particular Subvencionado",4410,5.7
"577",13132,"VITACURA","Municipal",957,5.9
"578",13132,"VITACURA","Particular Pagado",6653,5.9
"579",13132,"VITACURA","Particular Subvencionado",188,6
"580",13201,"PUENTE ALTO","Municipal",5862,5.3
"581",13201,"PUENTE ALTO","Particular Pagado",1485,5.6
"582",13201,"PUENTE ALTO","Particular Subvencionado",29382,5.7
"583",13202,"PIRQUE","Municipal",1126,5.8
"584",13202,"PIRQUE","Particular Pagado",347,5.8
"585",13203,"SAN JOSÉ DE MAIPO","Municipal",670,5.3
"586",13203,"SAN JOSÉ DE MAIPO","Particular Subvencionado",332,5.8
"587",13301,"COLINA","Municipal",2934,5.2
"588",13301,"COLINA","Particular Pagado",6042,6
"589",13301,"COLINA","Particular Subvencionado",6057,5.6
"590",13302,"LAMPA","Municipal",2128,5.5
"591",13302,"LAMPA","Particular Pagado",512,6.2
"592",13302,"LAMPA","Particular Subvencionado",6031,5.6
"593",13303,"TILTIL","Municipal",650,5.4
"594",13303,"TILTIL","Particular Subvencionado",722,5.8
"595",13401,"SAN BERNARDO","Municipal",6625,5.4
"596",13401,"SAN BERNARDO","Particular Pagado",1187,5.9
"597",13401,"SAN BERNARDO","Particular Subvencionado",13986,5.7
"598",13402,"BUIN","Municipal",3273,5.5
"599",13402,"BUIN","Particular Pagado",1622,6
"600",13402,"BUIN","Particular Subvencionado",2909,5.8
"601",13403,"CALERA DE TANGO","Municipal",932,5.5
"602",13403,"CALERA DE TANGO","Particular Pagado",674,6
"603",13403,"CALERA DE TANGO","Particular Subvencionado",388,5.8
"604",13404,"PAINE","Municipal",2697,5.6
"605",13404,"PAINE","Particular Pagado",110,5.8
"606",13404,"PAINE","Particular Subvencionado",3365,5.7
"607",13501,"MELIPILLA","Municipal",4062,5.6
"608",13501,"MELIPILLA","Particular Pagado",769,5.7
"609",13501,"MELIPILLA","Particular Subvencionado",5123,5.6
"610",13502,"ALHUÉ","Municipal",560,5
"611",13503,"CURACAVÍ","Municipal",912,5.7
"612",13503,"CURACAVÍ","Particular Pagado",131,5.7
"613",13503,"CURACAVÍ","Particular Subvencionado",1584,5.7
"614",13504,"MARÍA PINTO","Municipal",841,5.3
"615",13505,"SAN PEDRO","Municipal",743,5.7
"616",13601,"TALAGANTE","Municipal",2463,5.6
