"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"154",6109,"MALLOA","Urbano",335,5.5
"155",6110,"MOSTAZAL","Rural",512,5.3
"156",6110,"MOSTAZAL","Urbano",1337,4.6
"157",6111,"OLIVAR","Rural",249,5.3
"158",6111,"OLIVAR","Urbano",588,5.9
"159",6112,"PEUMO","Rural",455,5.6
"160",6112,"PEUMO","Urbano",502,5.5
"161",6113,"PICHIDEGUA","Rural",816,5.2
"162",6113,"PICHIDEGUA","Urbano",304,5.5
"163",6114,"QUINTA DE TILCOCO","Rural",358,5.4
"164",6114,"QUINTA DE TILCOCO","Urbano",526,5.6
"165",6115,"RENGO","Rural",1035,5
"166",6115,"RENGO","Urbano",3544,4.2
"167",6116,"REQUÍNOA","Rural",706,4.4
"168",6116,"REQUÍNOA","Urbano",1039,5.4
"169",6117,"SAN VICENTE","Rural",946,4.6
"170",6117,"SAN VICENTE","Urbano",2530,5
"171",6201,"PICHILEMU","Rural",364,4.9
"172",6201,"PICHILEMU","Urbano",857,4.6
"173",6202,"LA ESTRELLA","Rural",20,5.2
"174",6202,"LA ESTRELLA","Urbano",143,5.6
"175",6203,"LITUECHE","Rural",428,3.8
"176",6204,"MARCHIHUE","Rural",220,5.2
"177",6204,"MARCHIHUE","Urbano",174,5.3
"178",6205,"NAVIDAD","Rural",211,5.7
"179",6205,"NAVIDAD","Urbano",206,5.3
"180",6206,"PAREDONES","Rural",122,5
"181",6206,"PAREDONES","Urbano",204,5.1
"182",6301,"SAN FERNANDO","Rural",683,5.4
"183",6301,"SAN FERNANDO","Urbano",5491,5.2
"184",6302,"CHÉPICA","Rural",383,5.3
"185",6302,"CHÉPICA","Urbano",403,5.2
"186",6303,"CHIMBARONGO","Rural",1101,5.6
"187",6303,"CHIMBARONGO","Urbano",1384,5.3
"188",6304,"LOLOL","Rural",191,5.4
"189",6304,"LOLOL","Urbano",178,5.3
"190",6305,"NANCAGUA","Rural",431,5
"191",6305,"NANCAGUA","Urbano",815,5.3
"192",6306,"PALMILLA","Rural",368,5.6
"193",6306,"PALMILLA","Urbano",171,5.3
"194",6307,"PERALILLO","Rural",125,5.3
"195",6307,"PERALILLO","Urbano",446,5.2
"196",6308,"PLACILLA","Rural",373,4.9
"197",6308,"PLACILLA","Urbano",81,4.6
"198",6309,"PUMANQUE","Rural",95,4.3
"199",6309,"PUMANQUE","Urbano",95,5.8
"200",6310,"SANTA CRUZ","Rural",587,5.3
"201",6310,"SANTA CRUZ","Urbano",2765,5.1
"202",7101,"TALCA","Rural",503,5.4
"203",7101,"TALCA","Urbano",17126,4.9
"204",7102,"CONSTITUCIÓN","Rural",921,5.2
"205",7102,"CONSTITUCIÓN","Urbano",2670,4.8
"206",7103,"CUREPTO","Rural",264,5.3
"207",7103,"CUREPTO","Urbano",238,4
"208",7104,"EMPEDRADO","Rural",65,4.7
"209",7104,"EMPEDRADO","Urbano",207,4.4
"210",7105,"MAULE","Rural",985,5.5
"211",7105,"MAULE","Urbano",1093,5.2
"212",7106,"PELARCO","Rural",348,5.2
"213",7106,"PELARCO","Urbano",195,5.2
"214",7107,"PENCAHUE","Rural",237,4.5
"215",7107,"PENCAHUE","Urbano",159,5.4
"216",7108,"RÍO CLARO","Rural",500,4.2
"217",7108,"RÍO CLARO","Urbano",437,5.8
"218",7109,"SAN CLEMENTE","Rural",1275,5.2
"219",7109,"SAN CLEMENTE","Urbano",1825,4.1
"220",7110,"SAN RAFAEL","Rural",235,5.3
"221",7110,"SAN RAFAEL","Urbano",497,4.5
"222",7201,"CAUQUENES","Rural",229,4.7
"223",7201,"CAUQUENES","Urbano",2617,5.2
"224",7202,"CHANCO","Rural",215,5
"225",7202,"CHANCO","Urbano",322,4.6
"226",7203,"PELLUHUE","Rural",139,5.8
"227",7203,"PELLUHUE","Urbano",460,5.6
"228",7301,"CURICÓ","Rural",1729,5.1
"229",7301,"CURICÓ","Urbano",10332,4.9
"230",7302,"HUALAÑÉ","Rural",263,5.4
"231",7302,"HUALAÑÉ","Urbano",355,3.5
"232",7303,"LICANTÉN","Rural",154,4.9
"233",7303,"LICANTÉN","Urbano",296,3.7
"234",7304,"MOLINA","Rural",878,5.3
"235",7304,"MOLINA","Urbano",2229,4.7
"236",7305,"RAUCO","Rural",316,5.5
"237",7305,"RAUCO","Urbano",159,4.5
"238",7306,"ROMERAL","Rural",424,5.3
"239",7306,"ROMERAL","Urbano",583,5.4
"240",7307,"SAGRADA FAMILIA","Rural",661,3.5
"241",7307,"SAGRADA FAMILIA","Urbano",373,3.7
"242",7308,"TENO","Rural",1327,5.2
"243",7308,"TENO","Urbano",417,5.1
"244",7309,"VICHUQUEN","Rural",165,5.2
"245",7309,"VICHUQUEN","Urbano",41,4.1
"246",7401,"LINARES","Rural",1065,5.2
"247",7401,"LINARES","Urbano",6844,5.2
"248",7402,"COLBÚN","Rural",933,4.9
"249",7402,"COLBÚN","Urbano",578,5.4
"250",7403,"LONGAVÍ","Rural",1344,5.1
"251",7403,"LONGAVÍ","Urbano",641,4.5
"252",7404,"PARRAL","Rural",427,4.9
"253",7404,"PARRAL","Urbano",2711,5.2
"254",7405,"RETIRO","Rural",762,5.1
"255",7405,"RETIRO","Urbano",682,4.3
"256",7406,"SAN JAVIER","Rural",865,5
"257",7406,"SAN JAVIER","Urbano",2942,5.5
"258",7407,"VILLA ALEGRE","Rural",830,4.9
"259",7407,"VILLA ALEGRE","Urbano",205,5.2
"260",7408,"YERBAS BUENAS","Rural",659,4.9
"261",7408,"YERBAS BUENAS","Urbano",138,4.9
"262",8101,"CONCEPCIÓN","Rural",207,5.6
"263",8101,"CONCEPCIÓN","Urbano",14909,5.3
"264",8102,"CORONEL","Rural",378,5.3
"265",8102,"CORONEL","Urbano",8622,5.1
"266",8103,"CHIGUAYANTE","Urbano",5948,5.1
"267",8104,"FLORIDA","Rural",265,4.7
"268",8104,"FLORIDA","Urbano",412,5.6
"269",8105,"HUALQUI","Rural",251,3.9
"270",8105,"HUALQUI","Urbano",1462,4.9
"271",8106,"LOTA","Urbano",3320,5.1
"272",8107,"PENCO","Rural",196,5.1
"273",8107,"PENCO","Urbano",2876,5.1
"274",8108,"SAN PEDRO DE LA PAZ","Urbano",9976,5.2
"275",8109,"SANTA JUANA","Rural",124,5
"276",8109,"SANTA JUANA","Urbano",915,5.8
"277",8110,"TALCAHUANO","Rural",147,5.2
"278",8110,"TALCAHUANO","Urbano",8776,5.4
"279",8111,"TOMÉ","Rural",517,5.3
"280",8111,"TOMÉ","Urbano",3104,5.3
"281",8112,"HUALPÉN","Urbano",5359,5.1
"282",8201,"LEBU","Rural",244,5.4
"283",8201,"LEBU","Urbano",1685,4.9
"284",8202,"ARAUCO","Rural",809,5
"285",8202,"ARAUCO","Urbano",1992,5
"286",8203,"CAÑETE","Rural",1085,4.8
"287",8203,"CAÑETE","Urbano",1720,5
"288",8204,"CONTULMO","Rural",287,5.3
"289",8204,"CONTULMO","Urbano",174,5.4
"290",8205,"CURANILAHUE","Rural",94,5.3
"291",8205,"CURANILAHUE","Urbano",2322,5
"292",8206,"LOS ÁLAMOS","Rural",1218,5.3
"293",8206,"LOS ÁLAMOS","Urbano",647,5.6
"294",8207,"TIRÚA","Rural",721,5.3
"295",8207,"TIRÚA","Urbano",231,5
"296",8301,"LOS ÁNGELES","Rural",2894,5.1
"297",8301,"LOS ÁNGELES","Urbano",13024,5.2
"298",8302,"ANTUCO","Rural",41,5.8
"299",8302,"ANTUCO","Urbano",191,5.8
"300",8303,"CABRERO","Rural",320,5.1
"301",8303,"CABRERO","Urbano",1654,5.5
"302",8304,"LAJA","Rural",222,5.4
"303",8304,"LAJA","Urbano",1503,5.3
"304",8305,"MULCHÉN","Rural",159,5
"305",8305,"MULCHÉN","Urbano",1931,5.4
"306",8306,"NACIMIENTO","Rural",93,5.2
"307",8306,"NACIMIENTO","Urbano",1951,5.2
"308",8307,"NEGRETE","Rural",191,5.5
"309",8307,"NEGRETE","Urbano",464,4.9
"310",8308,"QUILACO","Rural",62,5.4
"311",8308,"QUILACO","Urbano",132,4.9
"312",8309,"QUILLECO","Rural",63,5.6
"313",8309,"QUILLECO","Urbano",396,5.4
"314",8310,"SAN ROSENDO","Rural",23,5.1
"315",8310,"SAN ROSENDO","Urbano",112,5.1
"316",8311,"SANTA BÁRBARA","Rural",345,5.3
"317",8311,"SANTA BÁRBARA","Urbano",683,5
"318",8312,"TUCAPEL","Rural",135,5.6
"319",8312,"TUCAPEL","Urbano",733,5.1
"320",8313,"YUMBEL","Rural",255,5.5
"321",8313,"YUMBEL","Urbano",1091,5.2
"322",8314,"ALTO BIOBÍO","Rural",620,5.1
"323",9101,"TEMUCO","Rural",1091,5.4
"324",9101,"TEMUCO","Urbano",19930,5
"325",9102,"CARAHUE","Rural",785,5.1
"326",9102,"CARAHUE","Urbano",1096,4.7
"327",9103,"CUNCO","Rural",268,4.8
"328",9103,"CUNCO","Urbano",926,5
"329",9104,"CURARREHUE","Rural",378,5.6
"330",9104,"CURARREHUE","Urbano",235,5.3
"331",9105,"FREIRE","Rural",716,5.3
"332",9105,"FREIRE","Urbano",721,5.3
"333",9106,"GALVARINO","Rural",585,5.2
"334",9106,"GALVARINO","Urbano",427,5.2
"335",9107,"GORBEA","Rural",57,5.5
"336",9107,"GORBEA","Urbano",830,4.8
"337",9108,"LAUTARO","Rural",763,5.5
"338",9108,"LAUTARO","Urbano",2203,5.5
"339",9109,"LONCOCHE","Rural",239,5.3
"340",9109,"LONCOCHE","Urbano",1419,5.1
"341",9110,"MELIPEUCO","Rural",99,5.3
"342",9110,"MELIPEUCO","Urbano",343,5.8
"343",9111,"NUEVA IMPERIAL","Rural",689,5.2
"344",9111,"NUEVA IMPERIAL","Urbano",1789,5.2
"345",9112,"PADRE LAS CASAS","Rural",2603,5.4
"346",9112,"PADRE LAS CASAS","Urbano",2546,5.4
"347",9113,"PERQUENCO","Rural",287,5.2
"348",9113,"PERQUENCO","Urbano",253,5
"349",9114,"PITRUFQUÉN","Rural",237,5.1
"350",9114,"PITRUFQUÉN","Urbano",1733,5.1
"351",9115,"PUCÓN","Rural",672,5.5
"352",9115,"PUCÓN","Urbano",1512,5.4
"353",9116,"SAAVEDRA","Rural",533,5.4
"354",9116,"SAAVEDRA","Urbano",430,5.4
"355",9117,"TEODORO SCHMIDT","Rural",356,5.4
"356",9117,"TEODORO SCHMIDT","Urbano",665,5.3
"357",9118,"TOLTÉN","Rural",341,5.2
"358",9118,"TOLTÉN","Urbano",414,5.2
"359",9119,"VILCÚN","Rural",1049,5.3
"360",9119,"VILCÚN","Urbano",1196,5.3
"361",9120,"VILLARRICA","Rural",1370,5.3
"362",9120,"VILLARRICA","Urbano",3623,5.3
"363",9121,"CHOLCHOL","Rural",583,5.4
"364",9121,"CHOLCHOL","Urbano",428,5.5
"365",9201,"ANGOL","Rural",100,4.7
"366",9201,"ANGOL","Urbano",3847,5.2
