"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"260",7408,"YERBAS BUENAS","Rural",685,5.8
"261",7408,"YERBAS BUENAS","Urbano",137,5.9
"262",8101,"CONCEPCIÓN","Rural",205,5.7
"263",8101,"CONCEPCIÓN","Urbano",14767,5.7
"264",8102,"CORONEL","Rural",350,5.7
"265",8102,"CORONEL","Urbano",8715,5.6
"266",8103,"CHIGUAYANTE","Urbano",5861,5.7
"267",8104,"FLORIDA","Rural",282,5.8
"268",8104,"FLORIDA","Urbano",403,5.6
"269",8105,"HUALQUI","Rural",249,5.7
"270",8105,"HUALQUI","Urbano",1439,5.9
"271",8106,"LOTA","Urbano",3318,5.6
"272",8107,"PENCO","Rural",200,5.7
"273",8107,"PENCO","Urbano",2876,5.8
"274",8108,"SAN PEDRO DE LA PAZ","Urbano",10103,5.7
"275",8109,"SANTA JUANA","Rural",114,5.3
"276",8109,"SANTA JUANA","Urbano",923,5.7
"277",8110,"TALCAHUANO","Rural",132,5.6
"278",8110,"TALCAHUANO","Urbano",9049,5.7
"279",8111,"TOMÉ","Rural",533,5.5
"280",8111,"TOMÉ","Urbano",3114,5.6
"281",8112,"HUALPÉN","Urbano",5293,5.8
"282",8201,"LEBU","Rural",239,5.6
"283",8201,"LEBU","Urbano",1687,5.6
"284",8202,"ARAUCO","Rural",820,5.5
"285",8202,"ARAUCO","Urbano",1959,5.7
"286",8203,"CAÑETE","Rural",1077,5.5
"287",8203,"CAÑETE","Urbano",1675,5.9
"288",8204,"CONTULMO","Rural",301,5.6
"289",8204,"CONTULMO","Urbano",158,5.8
"290",8205,"CURANILAHUE","Rural",89,6.1
"291",8205,"CURANILAHUE","Urbano",2240,5.6
"292",8206,"LOS ÁLAMOS","Rural",1200,5.7
"293",8206,"LOS ÁLAMOS","Urbano",666,5.6
"294",8207,"TIRÚA","Rural",703,5.7
"295",8207,"TIRÚA","Urbano",228,5.8
"296",8301,"LOS ÁNGELES","Rural",2917,5.7
"297",8301,"LOS ÁNGELES","Urbano",13027,5.7
"298",8302,"ANTUCO","Rural",49,5.7
"299",8302,"ANTUCO","Urbano",193,5.5
"300",8303,"CABRERO","Rural",329,5.2
"301",8303,"CABRERO","Urbano",1686,5.9
"302",8304,"LAJA","Rural",225,5.9
"303",8304,"LAJA","Urbano",1499,5.6
"304",8305,"MULCHÉN","Rural",176,5.7
"305",8305,"MULCHÉN","Urbano",1874,5.7
"306",8306,"NACIMIENTO","Rural",81,5.8
"307",8306,"NACIMIENTO","Urbano",1942,5.9
"308",8307,"NEGRETE","Rural",198,5.2
"309",8307,"NEGRETE","Urbano",471,5.7
"310",8308,"QUILACO","Rural",63,5.5
"311",8308,"QUILACO","Urbano",153,5.6
"312",8309,"QUILLECO","Rural",67,5.3
"313",8309,"QUILLECO","Urbano",413,5.9
"314",8310,"SAN ROSENDO","Rural",23,6
"315",8310,"SAN ROSENDO","Urbano",129,4.9
"316",8311,"SANTA BÁRBARA","Rural",337,5.5
"317",8311,"SANTA BÁRBARA","Urbano",671,5.6
"318",8312,"TUCAPEL","Rural",148,5.6
"319",8312,"TUCAPEL","Urbano",727,5.6
"320",8313,"YUMBEL","Rural",266,5.7
"321",8313,"YUMBEL","Urbano",1097,5.7
"322",8314,"ALTO BIOBÍO","Rural",600,5.6
"323",9101,"TEMUCO","Rural",1061,5.5
"324",9101,"TEMUCO","Urbano",19785,5.8
"325",9102,"CARAHUE","Rural",785,5.6
"326",9102,"CARAHUE","Urbano",1140,6
"327",9103,"CUNCO","Rural",262,5.7
"328",9103,"CUNCO","Urbano",961,6
"329",9104,"CURARREHUE","Rural",396,5.8
"330",9104,"CURARREHUE","Urbano",241,5.7
"331",9105,"FREIRE","Rural",730,5.8
"332",9105,"FREIRE","Urbano",717,5.3
"333",9106,"GALVARINO","Rural",602,5.6
"334",9106,"GALVARINO","Urbano",426,6
"335",9107,"GORBEA","Rural",47,5.5
"336",9107,"GORBEA","Urbano",833,5.7
"337",9108,"LAUTARO","Rural",777,5.6
"338",9108,"LAUTARO","Urbano",2191,5.8
"339",9109,"LONCOCHE","Rural",258,5.6
"340",9109,"LONCOCHE","Urbano",1413,5.5
"341",9110,"MELIPEUCO","Rural",100,5.2
"342",9110,"MELIPEUCO","Urbano",353,6.1
"343",9111,"NUEVA IMPERIAL","Rural",695,5.6
"344",9111,"NUEVA IMPERIAL","Urbano",1762,5.7
