"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"186",5602,"ALGARROBO","Promovido",1049
"187",5602,"ALGARROBO","Reprobado",10
"188",5602,"ALGARROBO","Retirado",66
"189",5603,"CARTAGENA","Promovido",1787
"190",5603,"CARTAGENA","Reprobado",16
"191",5603,"CARTAGENA","Retirado",159
"192",5604,"EL QUISCO","Promovido",961
"193",5604,"EL QUISCO","Reprobado",2
"194",5604,"EL QUISCO","Retirado",71
"195",5605,"EL TABO","Promovido",503
"196",5605,"EL TABO","Reprobado",4
"197",5605,"EL TABO","Retirado",32
"198",5606,"SANTO DOMINGO","Promovido",919
"199",5606,"SANTO DOMINGO","Reprobado",2
"200",5606,"SANTO DOMINGO","Retirado",51
"201",5701,"SAN FELIPE","Promovido",5984
"202",5701,"SAN FELIPE","Reprobado",124
"203",5701,"SAN FELIPE","Retirado",546
"204",5702,"CATEMU","Promovido",799
"205",5702,"CATEMU","Reprobado",31
"206",5702,"CATEMU","Retirado",104
"207",5703,"LLAILLAY","Promovido",2241
"208",5703,"LLAILLAY","Reprobado",12
"209",5703,"LLAILLAY","Retirado",154
"210",5704,"PANQUEHUE","Promovido",684
"211",5704,"PANQUEHUE","Retirado",35
"212",5705,"PUTAENDO","Promovido",1041
"213",5705,"PUTAENDO","Reprobado",19
"214",5705,"PUTAENDO","Retirado",83
"215",5706,"SANTA MARÍA","Promovido",980
"216",5706,"SANTA MARÍA","Reprobado",16
"217",5706,"SANTA MARÍA","Retirado",63
"218",5801,"QUILPUÉ","Promovido",10941
"219",5801,"QUILPUÉ","Reprobado",135
"220",5801,"QUILPUÉ","Retirado",1114
"221",5802,"LIMACHE","Promovido",3416
"222",5802,"LIMACHE","Reprobado",38
"223",5802,"LIMACHE","Retirado",292
"224",5803,"OLMUÉ","Promovido",971
"225",5803,"OLMUÉ","Reprobado",2
"226",5803,"OLMUÉ","Retirado",83
"227",5804,"VILLA ALEMANA","Promovido",8823
"228",5804,"VILLA ALEMANA","Reprobado",75
"229",5804,"VILLA ALEMANA","Retirado",664
"230",6101,"RANCAGUA","Promovido",18410
"231",6101,"RANCAGUA","Reprobado",278
"232",6101,"RANCAGUA","Retirado",1744
"233",6102,"CODEGUA","Promovido",671
"234",6102,"CODEGUA","Reprobado",19
"235",6102,"CODEGUA","Retirado",71
"236",6103,"COINCO","Promovido",454
"237",6103,"COINCO","Reprobado",13
"238",6103,"COINCO","Retirado",27
"239",6104,"COLTAUCO","Promovido",1368
"240",6104,"COLTAUCO","Reprobado",36
"241",6104,"COLTAUCO","Retirado",81
"242",6105,"DOÑIHUE","Promovido",1662
"243",6105,"DOÑIHUE","Reprobado",9
"244",6105,"DOÑIHUE","Retirado",93
"245",6106,"GRANEROS","Promovido",3042
"246",6106,"GRANEROS","Reprobado",27
"247",6106,"GRANEROS","Retirado",346
"248",6107,"LAS CABRAS","Promovido",1963
"249",6107,"LAS CABRAS","Reprobado",14
"250",6107,"LAS CABRAS","Retirado",154
"251",6108,"MACHALÍ","Promovido",4710
"252",6108,"MACHALÍ","Reprobado",55
"253",6108,"MACHALÍ","Retirado",248
"254",6109,"MALLOA","Promovido",644
"255",6109,"MALLOA","Reprobado",6
"256",6109,"MALLOA","Retirado",61
"257",6110,"MOSTAZAL","Promovido",1858
"258",6110,"MOSTAZAL","Reprobado",19
"259",6110,"MOSTAZAL","Retirado",127
"260",6111,"OLIVAR","Promovido",791
