"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"166",5501,"QUILLOTA","Promovido",7341
"167",5501,"QUILLOTA","Reprobado",132
"168",5501,"QUILLOTA","Retirado",416
"169",5502,"CALERA","Promovido",4165
"170",5502,"CALERA","Reprobado",40
"171",5502,"CALERA","Retirado",326
"172",5503,"HIJUELAS","Promovido",1087
"173",5503,"HIJUELAS","Reprobado",4
"174",5503,"HIJUELAS","Retirado",88
"175",5504,"LA CRUZ","Promovido",708
"176",5504,"LA CRUZ","Reprobado",6
"177",5504,"LA CRUZ","Retirado",79
"178",5506,"NOGALES","Promovido",1308
"179",5506,"NOGALES","Reprobado",5
"180",5506,"NOGALES","Retirado",72
"181",5601,"SAN ANTONIO","Promovido",7278
"182",5601,"SAN ANTONIO","Reprobado",79
"183",5601,"SAN ANTONIO","Retirado",826
"184",5602,"ALGARROBO","Promovido",1052
"185",5602,"ALGARROBO","Reprobado",13
"186",5602,"ALGARROBO","Retirado",60
"187",5603,"CARTAGENA","Promovido",1882
"188",5603,"CARTAGENA","Reprobado",16
"189",5603,"CARTAGENA","Retirado",205
"190",5604,"EL QUISCO","Promovido",973
"191",5604,"EL QUISCO","Reprobado",1
"192",5604,"EL QUISCO","Retirado",63
"193",5605,"EL TABO","Promovido",612
"194",5605,"EL TABO","Reprobado",4
"195",5605,"EL TABO","Retirado",69
"196",5606,"SANTO DOMINGO","Promovido",1103
"197",5606,"SANTO DOMINGO","Reprobado",5
"198",5606,"SANTO DOMINGO","Retirado",52
"199",5701,"SAN FELIPE","Promovido",5910
"200",5701,"SAN FELIPE","Reprobado",110
"201",5701,"SAN FELIPE","Retirado",501
"202",5702,"CATEMU","Promovido",797
"203",5702,"CATEMU","Reprobado",24
"204",5702,"CATEMU","Retirado",46
"205",5703,"LLAILLAY","Promovido",2149
"206",5703,"LLAILLAY","Reprobado",11
"207",5703,"LLAILLAY","Retirado",131
"208",5704,"PANQUEHUE","Promovido",664
"209",5704,"PANQUEHUE","Reprobado",7
"210",5704,"PANQUEHUE","Retirado",30
"211",5705,"PUTAENDO","Promovido",1042
"212",5705,"PUTAENDO","Reprobado",24
"213",5705,"PUTAENDO","Retirado",50
"214",5706,"SANTA MARÍA","Promovido",900
"215",5706,"SANTA MARÍA","Reprobado",11
"216",5706,"SANTA MARÍA","Retirado",79
"217",5801,"QUILPUÉ","Promovido",10793
"218",5801,"QUILPUÉ","Reprobado",115
"219",5801,"QUILPUÉ","Retirado",1097
"220",5802,"LIMACHE","Promovido",3430
"221",5802,"LIMACHE","Reprobado",32
"222",5802,"LIMACHE","Retirado",219
"223",5803,"OLMUÉ","Promovido",941
"224",5803,"OLMUÉ","Reprobado",6
"225",5803,"OLMUÉ","Retirado",59
"226",5804,"VILLA ALEMANA","Promovido",8765
"227",5804,"VILLA ALEMANA","Reprobado",67
"228",5804,"VILLA ALEMANA","Retirado",590
"229",6101,"RANCAGUA","Promovido",18157
"230",6101,"RANCAGUA","Reprobado",209
"231",6101,"RANCAGUA","Retirado",1593
"232",6102,"CODEGUA","Promovido",712
"233",6102,"CODEGUA","Reprobado",10
"234",6102,"CODEGUA","Retirado",60
"235",6103,"COINCO","Promovido",451
"236",6103,"COINCO","Reprobado",2
"237",6103,"COINCO","Retirado",30
"238",6104,"COLTAUCO","Promovido",1364
"239",6104,"COLTAUCO","Reprobado",36
"240",6104,"COLTAUCO","Retirado",79
"241",6105,"DOÑIHUE","Promovido",1627
"242",6105,"DOÑIHUE","Reprobado",9
"243",6105,"DOÑIHUE","Retirado",101
"244",6106,"GRANEROS","Promovido",2993
"245",6106,"GRANEROS","Reprobado",25
"246",6106,"GRANEROS","Retirado",244
"247",6107,"LAS CABRAS","Promovido",1966
"248",6107,"LAS CABRAS","Reprobado",11
"249",6107,"LAS CABRAS","Retirado",151
"250",6108,"MACHALÍ","Promovido",4668
"251",6108,"MACHALÍ","Reprobado",48
"252",6108,"MACHALÍ","Retirado",253
"253",6109,"MALLOA","Promovido",613
"254",6109,"MALLOA","Reprobado",8
"255",6109,"MALLOA","Retirado",50
"256",6110,"MOSTAZAL","Promovido",1807
"257",6110,"MOSTAZAL","Reprobado",22
"258",6110,"MOSTAZAL","Retirado",132
"259",6111,"OLIVAR","Promovido",787
"260",6111,"OLIVAR","Reprobado",11
"261",6111,"OLIVAR","Retirado",52
"262",6112,"PEUMO","Promovido",909
"263",6112,"PEUMO","Reprobado",8
"264",6112,"PEUMO","Retirado",55
"265",6113,"PICHIDEGUA","Promovido",1130
"266",6113,"PICHIDEGUA","Retirado",75
"267",6114,"QUINTA DE TILCOCO","Promovido",878
"268",6114,"QUINTA DE TILCOCO","Reprobado",10
"269",6114,"QUINTA DE TILCOCO","Retirado",53
"270",6115,"RENGO","Promovido",4646
"271",6115,"RENGO","Reprobado",36
"272",6115,"RENGO","Retirado",343
"273",6116,"REQUÍNOA","Promovido",1714
"274",6116,"REQUÍNOA","Reprobado",6
"275",6116,"REQUÍNOA","Retirado",91
"276",6117,"SAN VICENTE","Promovido",3231
"277",6117,"SAN VICENTE","Reprobado",25
"278",6117,"SAN VICENTE","Retirado",200
"279",6201,"PICHILEMU","Promovido",1413
"280",6201,"PICHILEMU","Reprobado",6
"281",6201,"PICHILEMU","Retirado",94
"282",6202,"LA ESTRELLA","Promovido",228
"283",6202,"LA ESTRELLA","Retirado",17
"284",6203,"LITUECHE","Promovido",545
"285",6203,"LITUECHE","Reprobado",6
"286",6203,"LITUECHE","Retirado",51
"287",6204,"MARCHIHUE","Promovido",505
"288",6204,"MARCHIHUE","Reprobado",4
"289",6204,"MARCHIHUE","Retirado",30
"290",6205,"NAVIDAD","Promovido",509
"291",6205,"NAVIDAD","Reprobado",2
"292",6205,"NAVIDAD","Retirado",25
"293",6206,"PAREDONES","Promovido",356
"294",6206,"PAREDONES","Retirado",29
"295",6301,"SAN FERNANDO","Promovido",5901
"296",6301,"SAN FERNANDO","Reprobado",64
"297",6301,"SAN FERNANDO","Retirado",406
"298",6302,"CHÉPICA","Promovido",843
"299",6302,"CHÉPICA","Reprobado",9
"300",6302,"CHÉPICA","Retirado",44
