"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"290",8109,"SANTA JUANA","Municipal",224,5.4
"291",8109,"SANTA JUANA","Particular Subvencionado",103,5.4
"292",8110,"TALCAHUANO","Municipal",1455,5
"293",8110,"TALCAHUANO","Particular Pagado",171,5.1
"294",8110,"TALCAHUANO","Particular Subvencionado",1722,5.4
"295",8111,"TOMÉ","Corporación de Administración Delegada",244,5.2
"296",8111,"TOMÉ","Municipal",1089,5.3
"297",8111,"TOMÉ","Particular Subvencionado",59,5.3
"298",8112,"HUALPÉN","Corporación de Administración Delegada",360,5.1
"299",8112,"HUALPÉN","Municipal",296,5.1
"300",8112,"HUALPÉN","Particular Pagado",329,5.6
"301",8112,"HUALPÉN","Particular Subvencionado",324,4.9
"302",8201,"LEBU","Municipal",716,5.4
"303",8202,"ARAUCO","Municipal",546,5
"304",8202,"ARAUCO","Particular Pagado",36,5.2
"305",8202,"ARAUCO","Particular Subvencionado",389,5.2
"306",8203,"CAÑETE","Municipal",651,5.4
"307",8203,"CAÑETE","Particular Subvencionado",596,5.3
"308",8204,"CONTULMO","Municipal",157,5.4
"309",8205,"CURANILAHUE","Municipal",630,5.3
"310",8205,"CURANILAHUE","Particular Subvencionado",287,5.2
"311",8206,"LOS ÁLAMOS","Municipal",364,5.2
"312",8206,"LOS ÁLAMOS","Particular Subvencionado",206,5.2
"313",8207,"TIRÚA","Municipal",123,5.1
"314",8301,"LOS ÁNGELES","Corporación de Administración Delegada",223,4.8
"315",8301,"LOS ÁNGELES","Municipal",2583,5.1
"316",8301,"LOS ÁNGELES","Particular Pagado",347,5.4
"317",8301,"LOS ÁNGELES","Particular Subvencionado",3265,5.2
"318",8302,"ANTUCO","Municipal",81,5.4
"319",8303,"CABRERO","Municipal",606,5.1
"320",8303,"CABRERO","Particular Subvencionado",114,5.5
"321",8304,"LAJA","Municipal",576,5.4
"322",8304,"LAJA","Particular Pagado",13,6.4
"323",8304,"LAJA","Particular Subvencionado",96,4.6
"324",8305,"MULCHÉN","Municipal",729,5
"325",8306,"NACIMIENTO","Municipal",456,5.2
"326",8306,"NACIMIENTO","Particular Subvencionado",337,5.3
"327",8307,"NEGRETE","Municipal",123,4.8
"328",8307,"NEGRETE","Particular Subvencionado",44,5
"329",8308,"QUILACO","Municipal",29,5.1
"330",8309,"QUILLECO","Municipal",128,4.8
"331",8310,"SAN ROSENDO","Municipal",44,5.5
"332",8311,"SANTA BÁRBARA","Municipal",185,5.1
"333",8311,"SANTA BÁRBARA","Particular Subvencionado",150,5.2
"334",8312,"TUCAPEL","Municipal",176,5.1
"335",8312,"TUCAPEL","Particular Subvencionado",87,5.6
"336",8313,"YUMBEL","Municipal",290,5.2
"337",8313,"YUMBEL","Particular Subvencionado",253,5.7
"338",8314,"ALTO BIOBÍO","Municipal",72,5.1
"339",9101,"TEMUCO","Corporación de Administración Delegada",339,5
"340",9101,"TEMUCO","Municipal",2251,5.1
"341",9101,"TEMUCO","Particular Pagado",652,5.6
"342",9101,"TEMUCO","Particular Subvencionado",6247,5
"343",9102,"CARAHUE","Particular Subvencionado",175,5.2
"344",9102,"CARAHUE","Servicio Local de Educación",581,5.2
"345",9103,"CUNCO","Municipal",244,5.1
"346",9103,"CUNCO","Particular Subvencionado",233,5.2
"347",9104,"CURARREHUE","Municipal",78,4.6
"348",9105,"FREIRE","Municipal",226,5
"349",9105,"FREIRE","Particular Subvencionado",133,4.9
"350",9106,"GALVARINO","Municipal",186,4.7
"351",9106,"GALVARINO","Particular Subvencionado",63,4.9
"352",9107,"GORBEA","Municipal",139,5.3
"353",9108,"LAUTARO","Municipal",803,5.1
"354",9109,"LONCOCHE","Municipal",384,5.1
"355",9109,"LONCOCHE","Particular Subvencionado",129,5.5
"356",9110,"MELIPEUCO","Municipal",72,4.8
"357",9110,"MELIPEUCO","Particular Subvencionado",41,5.2
"358",9111,"NUEVA IMPERIAL","Corporación de Administración Delegada",201,4.6
"359",9111,"NUEVA IMPERIAL","Particular Subvencionado",509,5
"360",9111,"NUEVA IMPERIAL","Servicio Local de Educación",357,5.1
"361",9112,"PADRE LAS CASAS","Particular Subvencionado",970,4.8
"362",9113,"PERQUENCO","Municipal",135,5.1
"363",9113,"PERQUENCO","Particular Subvencionado",55,4.9
"364",9114,"PITRUFQUÉN","Municipal",252,5.5
"365",9114,"PITRUFQUÉN","Particular Subvencionado",928,5.2
"366",9115,"PUCÓN","Municipal",280,5.3
"367",9115,"PUCÓN","Particular Subvencionado",449,5.2
"368",9116,"SAAVEDRA","Particular Subvencionado",37,4.4
"369",9116,"SAAVEDRA","Servicio Local de Educación",90,4.8
"370",9117,"TEODORO SCHMIDT","Particular Subvencionado",41,5.3
"371",9117,"TEODORO SCHMIDT","Servicio Local de Educación",116,4.9
"372",9118,"TOLTÉN","Servicio Local de Educación",180,5.1
"373",9119,"VILCÚN","Municipal",274,4.8
"374",9119,"VILCÚN","Particular Subvencionado",320,5.2
"375",9120,"VILLARRICA","Municipal",603,5.2
"376",9120,"VILLARRICA","Particular Pagado",58,5.8
"377",9120,"VILLARRICA","Particular Subvencionado",1440,5.2
"378",9121,"CHOLCHOL","Municipal",58,4.8
"379",9121,"CHOLCHOL","Particular Subvencionado",333,5.4
"380",9201,"ANGOL","Corporación de Administración Delegada",265,4.4
"381",9201,"ANGOL","Municipal",1003,5.1
"382",9201,"ANGOL","Particular Pagado",48,5.9
"383",9201,"ANGOL","Particular Subvencionado",524,5.2
"384",9202,"COLLIPULLI","Municipal",410,5
"385",9202,"COLLIPULLI","Particular Subvencionado",227,5.2
"386",9203,"CURACAUTÍN","Corporación de Administración Delegada",156,5.1
"387",9203,"CURACAUTÍN","Municipal",286,5.2
"388",9204,"ERCILLA","Municipal",45,4.9
"389",9205,"LONQUIMAY","Municipal",246,5.1
"390",9206,"LOS SAUCES","Municipal",170,4.9
"391",9207,"LUMACO","Municipal",110,4.8
"392",9208,"PURÉN","Municipal",257,5.3
"393",9209,"RENAICO","Municipal",161,5
"394",9210,"TRAIGUÉN","Municipal",318,5.2
"395",9210,"TRAIGUÉN","Particular Subvencionado",252,5
"396",9211,"VICTORIA","Municipal",658,5.1
"397",9211,"VICTORIA","Particular Subvencionado",459,5.2
"398",10101,"PUERTO MONTT","Municipal",2630,5.1
"399",10101,"PUERTO MONTT","Particular Pagado",458,5.6
"400",10101,"PUERTO MONTT","Particular Subvencionado",3813,5.2
"401",10102,"CALBUCO","Municipal",620,5.1
"402",10102,"CALBUCO","Particular Subvencionado",197,5.1
"403",10103,"COCHAMÓ","Municipal",72,5.4
"404",10104,"FRESIA","Municipal",197,5.4
"405",10104,"FRESIA","Particular Subvencionado",109,5
"406",10105,"FRUTILLAR","Municipal",455,4.8
"407",10105,"FRUTILLAR","Particular Pagado",38,5.8
"408",10105,"FRUTILLAR","Particular Subvencionado",74,5.8
"409",10106,"LOS MUERMOS","Municipal",252,5.1
"410",10106,"LOS MUERMOS","Particular Subvencionado",271,5.4
"411",10107,"LLANQUIHUE","Municipal",194,4.9
"412",10107,"LLANQUIHUE","Particular Subvencionado",59,5.6
"413",10108,"MAULLIN","Municipal",214,5
"414",10109,"PUERTO VARAS","Municipal",347,5
"415",10109,"PUERTO VARAS","Particular Pagado",348,5.8
"416",10109,"PUERTO VARAS","Particular Subvencionado",694,5
"417",10201,"CASTRO","Municipal",1271,5.2
"418",10201,"CASTRO","Particular Subvencionado",411,5.5
"419",10202,"ANCUD","Municipal",363,5.4
"420",10202,"ANCUD","Particular Subvencionado",867,5
"421",10203,"CHONCHI","Municipal",138,5.3
"422",10203,"CHONCHI","Particular Subvencionado",433,4.9
"423",10204,"CURACO DE VÉLEZ","Municipal",108,5
"424",10205,"DALCAHUE","Municipal",161,4.9
"425",10207,"QUEILÉN","Municipal",100,5.6
"426",10208,"QUELLÓN","Municipal",567,5.1
"427",10208,"QUELLÓN","Particular Subvencionado",184,5.1
"428",10209,"QUEMCHI","Municipal",80,5.3
"429",10210,"QUINCHAO","Municipal",258,5.2
"430",10210,"QUINCHAO","Particular Subvencionado",107,5.6
"431",10301,"OSORNO","Municipal",2129,4.9
"432",10301,"OSORNO","Particular Pagado",531,5.5
"433",10301,"OSORNO","Particular Subvencionado",1854,5.2
"434",10302,"PUERTO OCTAY","Municipal",89,4.5
"435",10302,"PUERTO OCTAY","Particular Subvencionado",54,5
"436",10303,"PURRANQUE","Municipal",210,4.7
"437",10303,"PURRANQUE","Particular Subvencionado",316,5.3
"438",10304,"PUYEHUE","Municipal",125,4.8
"439",10304,"PUYEHUE","Particular Subvencionado",162,5
"440",10305,"RÍO NEGRO","Corporación de Administración Delegada",187,4.7
"441",10305,"RÍO NEGRO","Municipal",125,5.1
"442",10305,"RÍO NEGRO","Particular Subvencionado",71,5.3
"443",10306,"SAN JUAN DE LA COSTA","Municipal",38,5.1
"444",10306,"SAN JUAN DE LA COSTA","Particular Subvencionado",49,5
"445",10307,"SAN PABLO","Municipal",136,5.1
"446",10307,"SAN PABLO","Particular Subvencionado",31,5.2
"447",10401,"CHAITÉN","Municipal",93,5.3
"448",10402,"FUTALEUFÚ","Municipal",54,4.9
"449",10403,"HUALAIHUÉ","Municipal",207,4.9
"450",10403,"HUALAIHUÉ","Particular Subvencionado",56,5.6
"451",10404,"PALENA","Municipal",39,5.3
"452",11101,"COYHAIQUE","Corporación de Administración Delegada",70,5.2
"453",11101,"COYHAIQUE","Municipal",333,5
"454",11101,"COYHAIQUE","Particular Subvencionado",1263,5.1
"455",11201,"AYSÉN","Municipal",258,5.1
"456",11201,"AYSÉN","Particular Subvencionado",361,5.3
"457",11202,"CISNES","Municipal",106,5.1
"458",11203,"GUAITECAS","Municipal",32,5.6
"459",11301,"COCHRANE","Municipal",92,5.3
"460",11302,"O'HIGGINS","Municipal",3,3.7
"461",11401,"CHILE CHICO","Municipal",107,5.2
"462",11402,"RÍO IBÁÑEZ","Municipal",27,5.2
"463",12101,"PUNTA ARENAS","Municipal",1466,5.1
"464",12101,"PUNTA ARENAS","Particular Pagado",502,5.6
"465",12101,"PUNTA ARENAS","Particular Subvencionado",1260,5.3
"466",12201,"CABO DE HORNOS","Municipal",48,5.1
"467",12301,"PORVENIR","Municipal",135,5.3
"468",12401,"NATALES","Municipal",287,5.2
"469",12401,"NATALES","Particular Subvencionado",266,5.4
"470",13101,"SANTIAGO","Corporación de Administración Delegada",2207,5.1
"471",13101,"SANTIAGO","Municipal",6566,5.3
"472",13101,"SANTIAGO","Particular Pagado",1278,5.6
"473",13101,"SANTIAGO","Particular Subvencionado",6123,5.3
"474",13102,"CERRILLOS","Municipal",81,4.8
"475",13102,"CERRILLOS","Particular Subvencionado",1230,4.9
"476",13103,"CERRO NAVIA","Particular Subvencionado",628,5
"477",13103,"CERRO NAVIA","Servicio Local de Educación",323,4.8
"478",13104,"CONCHALÍ","Municipal",536,4.9
"479",13104,"CONCHALÍ","Particular Subvencionado",785,5.1
"480",13105,"EL BOSQUE","Municipal",384,4.9
"481",13105,"EL BOSQUE","Particular Pagado",98,5.3
"482",13105,"EL BOSQUE","Particular Subvencionado",2943,5
"483",13106,"ESTACIÓN CENTRAL","Corporación de Administración Delegada",287,5.2
"484",13106,"ESTACIÓN CENTRAL","Municipal",571,5.1
"485",13106,"ESTACIÓN CENTRAL","Particular Pagado",150,5.7
"486",13106,"ESTACIÓN CENTRAL","Particular Subvencionado",1592,5.2
"487",13107,"HUECHURABA","Municipal",99,5.3
"488",13107,"HUECHURABA","Particular Pagado",842,5.6
"489",13107,"HUECHURABA","Particular Subvencionado",313,5.1
"490",13108,"INDEPENDENCIA","Municipal",568,5.3
"491",13108,"INDEPENDENCIA","Particular Pagado",157,5.7
"492",13108,"INDEPENDENCIA","Particular Subvencionado",1828,5.1
"493",13109,"LA CISTERNA","Corporación de Administración Delegada",364,4.9
"494",13109,"LA CISTERNA","Municipal",680,4.8
"495",13109,"LA CISTERNA","Particular Pagado",65,5.1
"496",13109,"LA CISTERNA","Particular Subvencionado",4483,5.1
"497",13110,"LA FLORIDA","Municipal",1247,5
"498",13110,"LA FLORIDA","Particular Pagado",1053,5.6
"499",13110,"LA FLORIDA","Particular Subvencionado",6924,5.2
"500",13111,"LA GRANJA","Particular Subvencionado",1113,5.3
"501",13111,"LA GRANJA","Servicio Local de Educación",319,4.8
"502",13112,"LA PINTANA","Municipal",292,5
"503",13112,"LA PINTANA","Particular Subvencionado",3005,5
"504",13113,"LA REINA","Municipal",439,4.9
"505",13113,"LA REINA","Particular Pagado",1595,5.8
"506",13113,"LA REINA","Particular Subvencionado",622,5.3
"507",13114,"LAS CONDES","Municipal",731,5.2
"508",13114,"LAS CONDES","Particular Pagado",4683,5.8
"509",13114,"LAS CONDES","Particular Subvencionado",1012,5.1
"510",13115,"LO BARNECHEA","Municipal",271,4.9
"511",13115,"LO BARNECHEA","Particular Pagado",2105,6
"512",13115,"LO BARNECHEA","Particular Subvencionado",445,5.1
"513",13116,"LO ESPEJO","Municipal",185,4.8
"514",13116,"LO ESPEJO","Particular Subvencionado",552,4.9
"515",13117,"LO PRADO","Particular Subvencionado",232,5.4
"516",13117,"LO PRADO","Servicio Local de Educación",472,5
"517",13118,"MACUL","Particular Pagado",188,5.5
"518",13118,"MACUL","Particular Subvencionado",994,5.3
"519",13118,"MACUL","Servicio Local de Educación",339,5.2
"520",13119,"MAIPÚ","Corporación de Administración Delegada",381,4.9
"521",13119,"MAIPÚ","Municipal",2147,5.2
"522",13119,"MAIPÚ","Particular Pagado",503,5.6
"523",13119,"MAIPÚ","Particular Subvencionado",9781,5.1
"524",13120,"ÑUÑOA","Corporación de Administración Delegada",1535,5
"525",13120,"ÑUÑOA","Municipal",1945,4.9
"526",13120,"ÑUÑOA","Particular Pagado",1918,5.5
"527",13120,"ÑUÑOA","Particular Subvencionado",1947,5
"528",13121,"PEDRO AGUIRRE CERDA","Corporación de Administración Delegada",298,4.7
"529",13121,"PEDRO AGUIRRE CERDA","Municipal",159,4.6
"530",13121,"PEDRO AGUIRRE CERDA","Particular Subvencionado",570,5.1
"531",13122,"PEÑALOLÉN","Municipal",807,5
"532",13122,"PEÑALOLÉN","Particular Pagado",1532,5.7
"533",13122,"PEÑALOLÉN","Particular Subvencionado",1649,5.1
"534",13123,"PROVIDENCIA","Municipal",2721,5.4
"535",13123,"PROVIDENCIA","Particular Pagado",1958,5.8
"536",13123,"PROVIDENCIA","Particular Subvencionado",1103,5.3
"537",13124,"PUDAHUEL","Particular Pagado",135,5.7
"538",13124,"PUDAHUEL","Particular Subvencionado",2157,5.1
"539",13124,"PUDAHUEL","Servicio Local de Educación",428,5
"540",13125,"QUILICURA","Municipal",770,5.1
"541",13125,"QUILICURA","Particular Pagado",308,5.5
"542",13125,"QUILICURA","Particular Subvencionado",4056,5.2
"543",13126,"QUINTA NORMAL","Corporación de Administración Delegada",672,4.9
"544",13126,"QUINTA NORMAL","Municipal",997,4.9
"545",13126,"QUINTA NORMAL","Particular Subvencionado",1654,5.1
"546",13127,"RECOLETA","Corporación de Administración Delegada",1457,4.8
"547",13127,"RECOLETA","Municipal",975,5.2
"548",13127,"RECOLETA","Particular Pagado",177,5.3
"549",13127,"RECOLETA","Particular Subvencionado",1812,5.1
"550",13128,"RENCA","Corporación de Administración Delegada",400,5.1
"551",13128,"RENCA","Municipal",617,5.3
"552",13128,"RENCA","Particular Subvencionado",1852,5
"553",13129,"SAN JOAQUÍN","Corporación de Administración Delegada",485,5
"554",13129,"SAN JOAQUÍN","Particular Subvencionado",362,5.2
"555",13129,"SAN JOAQUÍN","Servicio Local de Educación",110,4.9
"556",13130,"SAN MIGUEL","Corporación de Administración Delegada",1015,5.2
"557",13130,"SAN MIGUEL","Municipal",410,5.2
"558",13130,"SAN MIGUEL","Particular Pagado",305,5.3
"559",13130,"SAN MIGUEL","Particular Subvencionado",2625,5.1
"560",13131,"SAN RAMÓN","Corporación de Administración Delegada",144,4.8
"561",13131,"SAN RAMÓN","Municipal",331,4.9
"562",13131,"SAN RAMÓN","Particular Subvencionado",844,5
"563",13132,"VITACURA","Municipal",346,5.2
"564",13132,"VITACURA","Particular Pagado",2385,5.6
"565",13132,"VITACURA","Particular Subvencionado",72,5.2
"566",13201,"PUENTE ALTO","Municipal",1801,5
"567",13201,"PUENTE ALTO","Particular Pagado",485,5.4
"568",13201,"PUENTE ALTO","Particular Subvencionado",10987,5.1
"569",13202,"PIRQUE","Municipal",204,5.3
"570",13202,"PIRQUE","Particular Pagado",93,5.7
"571",13202,"PIRQUE","Particular Subvencionado",191,4.8
"572",13203,"SAN JOSÉ DE MAIPO","Municipal",173,4.4
"573",13203,"SAN JOSÉ DE MAIPO","Particular Subvencionado",145,5.6
"574",13301,"COLINA","Municipal",1549,5.1
"575",13301,"COLINA","Particular Pagado",1474,5.7
"576",13301,"COLINA","Particular Subvencionado",1244,4.9
"577",13302,"LAMPA","Municipal",512,5
"578",13302,"LAMPA","Particular Pagado",11,5
"579",13302,"LAMPA","Particular Subvencionado",1192,5.1
"580",13303,"TILTIL","Municipal",250,5.1
