"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"310",8308,"QUILACO","Rural",81,5.9
"311",8308,"QUILACO","Urbano",166,5.9
"312",8309,"QUILLECO","Rural",58,6
"313",8309,"QUILLECO","Urbano",402,5.7
"314",8310,"SAN ROSENDO","Rural",25,6.3
"315",8310,"SAN ROSENDO","Urbano",130,6.2
"316",8311,"SANTA BÁRBARA","Rural",343,5.8
"317",8311,"SANTA BÁRBARA","Urbano",674,6.2
"318",8312,"TUCAPEL","Rural",170,5.8
"319",8312,"TUCAPEL","Urbano",782,5.9
"320",8313,"YUMBEL","Rural",286,5.8
"321",8313,"YUMBEL","Urbano",1122,6
"322",8314,"ALTO BIOBÍO","Rural",580,5.7
"323",9101,"TEMUCO","Rural",1101,5.7
"324",9101,"TEMUCO","Urbano",19407,5.9
"325",9102,"CARAHUE","Rural",758,5.7
"326",9102,"CARAHUE","Urbano",1128,6.1
"327",9103,"CUNCO","Rural",275,5.7
"328",9103,"CUNCO","Urbano",991,6
"329",9104,"CURARREHUE","Rural",392,5.7
"330",9104,"CURARREHUE","Urbano",249,6
"331",9105,"FREIRE","Rural",776,6
"332",9105,"FREIRE","Urbano",744,5.7
"333",9106,"GALVARINO","Rural",634,5.5
"334",9106,"GALVARINO","Urbano",443,6.1
"335",9107,"GORBEA","Rural",42,5.7
"336",9107,"GORBEA","Urbano",788,5.9
"337",9108,"LAUTARO","Rural",794,5.7
"338",9108,"LAUTARO","Urbano",2202,5.9
"339",9109,"LONCOCHE","Rural",259,5.8
"340",9109,"LONCOCHE","Urbano",1420,6
"341",9110,"MELIPEUCO","Rural",99,5.5
"342",9110,"MELIPEUCO","Urbano",357,6.2
"343",9111,"NUEVA IMPERIAL","Rural",726,5.8
"344",9111,"NUEVA IMPERIAL","Urbano",1696,5.9
"345",9112,"PADRE LAS CASAS","Rural",2609,5.8
"346",9112,"PADRE LAS CASAS","Urbano",2438,5.9
"347",9113,"PERQUENCO","Rural",316,5.7
"348",9113,"PERQUENCO","Urbano",242,5.8
"349",9114,"PITRUFQUÉN","Rural",284,5.8
"350",9114,"PITRUFQUÉN","Urbano",1702,5.8
"351",9115,"PUCÓN","Rural",760,6
"352",9115,"PUCÓN","Urbano",1691,6.1
"353",9116,"SAAVEDRA","Rural",527,5.8
"354",9116,"SAAVEDRA","Urbano",393,5.9
"355",9117,"TEODORO SCHMIDT","Rural",357,5.8
"356",9117,"TEODORO SCHMIDT","Urbano",675,5.9
"357",9118,"TOLTÉN","Rural",333,6.1
"358",9118,"TOLTÉN","Urbano",413,6.1
"359",9119,"VILCÚN","Rural",1056,5.7
"360",9119,"VILCÚN","Urbano",1157,5.8
"361",9120,"VILLARRICA","Rural",1484,6
"362",9120,"VILLARRICA","Urbano",4060,6
"363",9121,"CHOLCHOL","Rural",592,5.5
"364",9121,"CHOLCHOL","Urbano",439,5.8
"365",9201,"ANGOL","Rural",100,5.9
"366",9201,"ANGOL","Urbano",3865,5.9
"367",9202,"COLLIPULLI","Rural",349,5.8
"368",9202,"COLLIPULLI","Urbano",1601,5.9
"369",9203,"CURACAUTÍN","Rural",281,6
"370",9203,"CURACAUTÍN","Urbano",1010,5.8
"371",9204,"ERCILLA","Rural",305,5.7
"372",9204,"ERCILLA","Urbano",359,5.8
"373",9205,"LONQUIMAY","Rural",484,5.7
"374",9205,"LONQUIMAY","Urbano",337,6.1
"375",9206,"LOS SAUCES","Rural",86,6
"376",9206,"LOS SAUCES","Urbano",388,5.8
"377",9207,"LUMACO","Rural",287,5.6
"378",9207,"LUMACO","Urbano",379,5.8
"379",9208,"PURÉN","Rural",307,5.8
"380",9208,"PURÉN","Urbano",527,5.9
"381",9209,"RENAICO","Rural",9,5.6
"382",9209,"RENAICO","Urbano",684,5.7
"383",9210,"TRAIGUÉN","Rural",67,6
"384",9210,"TRAIGUÉN","Urbano",1257,5.8
"385",9211,"VICTORIA","Rural",508,5.9
"386",9211,"VICTORIA","Urbano",2067,6
"387",10101,"PUERTO MONTT","Rural",2646,5.8
"388",10101,"PUERTO MONTT","Urbano",16830,5.9
"389",10102,"CALBUCO","Rural",1169,6
"390",10102,"CALBUCO","Urbano",1279,5.9
"391",10103,"COCHAMÓ","Rural",235,5.8
"392",10104,"FRESIA","Rural",208,6
"393",10104,"FRESIA","Urbano",581,5.8
"394",10105,"FRUTILLAR","Rural",525,5.8
"395",10105,"FRUTILLAR","Urbano",1118,6.1
"396",10106,"LOS MUERMOS","Rural",771,5.9
"397",10106,"LOS MUERMOS","Urbano",609,5.8
"398",10107,"LLANQUIHUE","Rural",176,5.6
"399",10107,"LLANQUIHUE","Urbano",921,5.9
"400",10108,"MAULLIN","Rural",330,5.9
"401",10108,"MAULLIN","Urbano",560,5.9
"402",10109,"PUERTO VARAS","Rural",758,5.9
"403",10109,"PUERTO VARAS","Urbano",3382,6
"404",10201,"CASTRO","Rural",383,6.1
"405",10201,"CASTRO","Urbano",2988,5.9
"406",10202,"ANCUD","Rural",525,6.1
"407",10202,"ANCUD","Urbano",2164,6
"408",10203,"CHONCHI","Rural",341,6
"409",10203,"CHONCHI","Urbano",554,5.9
"410",10204,"CURACO DE VÉLEZ","Rural",87,5.5
"411",10204,"CURACO DE VÉLEZ","Urbano",73,5.8
"412",10205,"DALCAHUE","Rural",360,6.1
"413",10205,"DALCAHUE","Urbano",733,6
"414",10206,"PUQUELDÓN","Rural",178,6
"415",10206,"PUQUELDÓN","Urbano",56,6.1
"416",10207,"QUEILÉN","Rural",245,6
"417",10207,"QUEILÉN","Urbano",102,6.5
"418",10208,"QUELLÓN","Rural",615,6.1
"419",10208,"QUELLÓN","Urbano",1623,5.9
"420",10209,"QUEMCHI","Rural",264,5.8
"421",10209,"QUEMCHI","Urbano",221,6.3
"422",10210,"QUINCHAO","Rural",215,5.9
"423",10210,"QUINCHAO","Urbano",282,6
"424",10301,"OSORNO","Rural",1117,6.2
"425",10301,"OSORNO","Urbano",9912,5.9
"426",10302,"PUERTO OCTAY","Rural",318,5.8
"427",10302,"PUERTO OCTAY","Urbano",231,5.8
"428",10303,"PURRANQUE","Rural",161,5.7
"429",10303,"PURRANQUE","Urbano",1218,5.7
"430",10304,"PUYEHUE","Rural",417,5.7
"431",10304,"PUYEHUE","Urbano",321,6
"432",10305,"RÍO NEGRO","Rural",32,5.4
"433",10305,"RÍO NEGRO","Urbano",731,5.7
"434",10306,"SAN JUAN DE LA COSTA","Rural",459,6
"435",10307,"SAN PABLO","Rural",272,5.8
"436",10307,"SAN PABLO","Urbano",352,6
"437",10401,"CHAITÉN","Rural",270,5.9
"438",10402,"FUTALEUFÚ","Rural",195,5.9
"439",10403,"HUALAIHUÉ","Rural",489,6.1
"440",10403,"HUALAIHUÉ","Urbano",149,6.4
"441",10404,"PALENA","Rural",106,6.1
"442",11101,"COYHAIQUE","Rural",1316,5.9
"443",11101,"COYHAIQUE","Urbano",5303,5.9
"444",11102,"LAGO VERDE","Rural",33,6.1
"445",11201,"AYSÉN","Urbano",812,6.1
"446",11202,"CISNES","Rural",1,6.9
"447",11302,"O'HIGGINS","Rural",57,5.9
