"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"597",13303,"TILTIL","Particular Subvencionado",686,5.6
"598",13401,"SAN BERNARDO","Municipal",7274,5.4
"599",13401,"SAN BERNARDO","Particular Pagado",1376,5.9
"600",13401,"SAN BERNARDO","Particular Subvencionado",14122,5.6
"601",13402,"BUIN","Municipal",2947,5.4
"602",13402,"BUIN","Particular Pagado",1641,5.9
"603",13402,"BUIN","Particular Subvencionado",2821,5.4
"604",13403,"CALERA DE TANGO","Municipal",873,5.7
"605",13403,"CALERA DE TANGO","Particular Pagado",789,6.1
"606",13403,"CALERA DE TANGO","Particular Subvencionado",393,5.5
"607",13404,"PAINE","Municipal",2758,5.4
"608",13404,"PAINE","Particular Pagado",149,6.4
"609",13404,"PAINE","Particular Subvencionado",3089,5.7
"610",13501,"MELIPILLA","Municipal",4017,5.5
"611",13501,"MELIPILLA","Particular Pagado",854,6
"612",13501,"MELIPILLA","Particular Subvencionado",4994,5.6
"613",13502,"ALHUÉ","Municipal",504,5.5
"614",13503,"CURACAVÍ","Municipal",1059,5.5
"615",13503,"CURACAVÍ","Particular Pagado",131,5.8
"616",13503,"CURACAVÍ","Particular Subvencionado",1390,5.6
"617",13504,"MARÍA PINTO","Municipal",763,5.7
"618",13505,"SAN PEDRO","Municipal",661,5.5
"619",13601,"TALAGANTE","Municipal",2351,5.5
"620",13601,"TALAGANTE","Particular Pagado",1167,5.9
"621",13601,"TALAGANTE","Particular Subvencionado",3137,5.5
"622",13602,"EL MONTE","Municipal",996,5.5
"623",13602,"EL MONTE","Particular Subvencionado",1565,5.7
"624",13603,"ISLA DE MAIPO","Municipal",1162,5.5
"625",13603,"ISLA DE MAIPO","Particular Pagado",56,5.6
"626",13603,"ISLA DE MAIPO","Particular Subvencionado",1357,5.4
"627",13604,"PADRE HURTADO","Municipal",740,5.4
"628",13604,"PADRE HURTADO","Particular Pagado",331,5.8
